Index,0 [USHORT] [0x0],1 [USHORT] [0x18],2 [USHORT] [0x30],3 [USHORT] [0x2],4 [USHORT] [0x1A],5 [USHORT] [0x32],6 [USHORT] [0x4],7 [USHORT] [0x1C],8 [USHORT] [0x34],9 [USHORT] [0x6],10 [USHORT] [0x1E],11 [USHORT] [0x36],12 [USHORT] [0x8],13 [USHORT] [0x20],14 [USHORT] [0x38],15 [USHORT] [0xA],16 [USHORT] [0x22],17 [USHORT] [0x3A],18 [USHORT] [0xC],19 [USHORT] [0x24],20 [USHORT] [0x3C],21 [USHORT] [0xE],22 [USHORT] [0x26],23 [USHORT] [0x3E],24 [USHORT] [0x10],25 [USHORT] [0x28],26 [USHORT] [0x40],27 [USHORT] [0x12],28 [USHORT] [0x2A],29 [USHORT] [0x42],30 [USHORT] [0x14],31 [USHORT] [0x2C],32 [USHORT] [0x44],33 [USHORT] [0x16],34 [USHORT] [0x2E],35 [USHORT] [0x46]
1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,8,7,3,106,6,3,211,6,3,321,7,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,15,2,3,120,2,3,211,6,3,321,7,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,16,1,3,120,2,3,211,2,3,321,7,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,17,2,3,120,2,3,211,6,3,321,7,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,10,8,3,211,6,3,321,6,3,619,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,15,4,3,211,6,3,321,6,3,619,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,16,2,3,211,6,3,505,6,3,619,6,3,936,6,3,937,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,17,4,3,211,6,3,510,6,3,619,6,3,936,6,3,937,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,103,25,3,210,25,3,340,25,3,321,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,120,7,3,210,15,3,340,15,3,321,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,120,7,3,220,15,3,346,3,3,321,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,120,7,3,220,15,3,346,3,3,321,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,4,6,3,210,6,3,346,4,3,619,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,15,4,3,210,6,3,346,4,3,619,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,15,6,3,233,6,3,346,3,3,619,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,15,6,3,233,6,3,332,6,3,346,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,213,4,3,346,4,3,404,4,3,505,4,3,619,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,16,2,3,120,8,3,112,8,3,310,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,16,2,3,226,6,3,232,6,3,340,10,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,121,6,3,357,4,3,418,4,3,523,4,3,619,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,8,6,3,103,7,3,508,7,3,510,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,15,3,3,111,4,3,508,7,3,510,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,16,1,3,112,6,3,226,3,3,815,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,17,3,3,112,6,3,357,3,3,615,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
