Index,0 [STRING] [0x0],1 [BYTE] [0xC],2 [STRING] [0x4],3 [BYTE] [0xD],4 [BYTE] [0xE],5 [BYTE] [0xF],6 [BYTE] [0x10],7 [BYTE] [0x11],8 [STRING] [0x8]
126,"克拉肯",0,"0",0,0,1,0,0,"使无数船只沉没的海怪。几十年前败给海盗王雾须以后，一直担任基地的看门人。后来，败给了来到岛上的冒险者……在海上徘徊游荡的时候，遇到了意气相投的麦迪逊船长。"
127,"审理神代言者",0,"0",0,0,1,0,0,"发掘喀恩埋没圣堂的过程中，由于操作失误被启动的古代守护者。作为被供奉在同一圣堂的太阳与审理的女神阿泽玛的代理人，为给盗墓者降下死刑的裁决，两手持有恐怖的断头刀。"
128,"光鳞兄弟莫拉加加",0,"0",0,0,1,0,0,"辉鳞人族佣兵团光鳞战斗团的团长兼副团长。居住在西方新大陆的兽人种族辉鳞人族中，会有稀少的拥有双头的个体出现。他们的才能和肉体总的来说比普通个体优秀，因此成为领导者和武将、做出一番事业的比较多。"
129,"弗迪亚",0,"0",0,0,1,0,0,"出现在无限城古堡的妖异。过去曾为魔法城邦玛哈的黑魔法师所召唤，听从其命令攻打无限城，然而在遭到反击后被封印了起来。是“妖异十二阶”中位列第3阶级的下级贵族级妖异。"
130,"卡尔克布莉娜",0,"0",0,0,1,0,0,"为守护萨雷安的魔法设施颠倒塔而创造出来的魔法人偶。为了给予其强大的力量，历代魔法师长时间地为其注入魔力，最终变成了现在这种令人不舒服的容貌。"
131,"基路伯",0,"0",0,0,1,0,0,"无限城的白魔法师们创造出的古都守护者。运用了制作巨像兵的技术，石像的胸口和两手中嵌入了作为核心的宝石。为了对抗妖异而生，会使用很多种白魔法。"
132,"提坦",0,"0",0,0,1,0,0,"第三星历末期为反抗亚拉戈帝国的支配而战的英雄。被亚蒙抓住后，他坚韧的肉体成为了长生不老计划的实验材料。失去了生前的记忆，变成了水晶塔防卫用的傀儡。"
133,"阿图瓦雷尔·德·福尔唐",0,"0",0,0,1,0,0,"“我叫阿图瓦雷尔·德·福尔唐，<br>是福尔唐家的长子，<br>光荣的伊修加德骑士。”<br>福尔唐家长子：阿图瓦雷尔·德·福尔唐"
134,"埃马内兰·德·福尔唐",0,"0",0,0,1,0,0,"“不必再担忧，无需再恐惧，<br>你的骑士埃马内兰来了！”<br>福尔唐家次子：埃马内兰·德·福尔唐"
135,"赞德",0,"0",0,0,1,0,0,"被魔科学家亚蒙从永远的沉睡中唤醒的亚拉戈帝国初代皇帝。为了实现长生不老计划，他在赞德灵庙的遗体被巨大化了。并且在不死化以后被克隆出了替身。"
136,"残暴正义号",0,"0",0,0,1,0,0,"守卫机神城的神秘合体士兵。是以防卫参谋突击者为中心的魔法兵环旋者、算术兵欺诈者、忍术兵爆破者、武装兵搏击者的合体。虽缺乏主体性，但忠诚于统帅万事通奎克辛克斯。"
137,"萨菲洛特",0,"0",0,0,1,0,0,"三斗神之一。被认为是世界最初的圣树神化后的存在，受到居住在南方大陆美拉西迪亚的树状种族的崇敬。其操纵生命，使自己成长、巨大化的所作所为，很符合魔神之名。"
138,"芙·拉敏",0,"0",0,0,1,0,0,"“呵呵，孩子真是在不知不觉间就长大了啊。<br>那个小小的阿希莉亚竟然变得这么成熟了……”<br>乌尔达哈的明星：芙·拉敏"
139,"维德弗尼尔",0,"0",0,0,1,0,0,"继承了圣龙赫拉斯瓦尔格血统的龙族。连人类与龙族和平时期都了解的古老的龙，约束圣龙眷属的长老般的存在。因其美丽的羽翼，又有白翼这一美称。"
140,"暗黑之云",0,"0",0,0,1,0,0,"统治虚无界的魔王之一。其实力深不可测，在妖异十二阶中位列最强的第1阶。与古代亚拉戈帝国的皇帝赞德结下了鲜血的契约，图谋入侵物质界。"
