Index,0 [STRING] [0x0],1 [STRING] [0x4],2 [UBYTE] [0x28],3 [USHORT] [0x1C],4 [USHORT] [0x1E],5 [USHORT] [0x20],6 [USHORT] [0x22],7 [UBYTE] [0x29],8 [UBYTE] [0x2A],9 [UBYTE] [0x2B],10 [BOOL] [0x2F],11 [BOOL] [0x30],12 [BOOL] [0x31],13 [USHORT] [0x24],14 [INT] [0xC],15 [INT] [0x10],16 [UINT] [0x8],17 [USHORT] [0x26],18 [INT] [0x14],19 [INT] [0x18],20 [UBYTE] [0x2C],21 [BYTE] [0x2D],22 [BYTE] [0x2E]
280,"e0040","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,22,502,33,18,3,9,0,true,false,false,36,122001,123007,0,36,13,-1,0,-1,-1
281,"o1fa","ffxiv/ocn_o1/fld/o1fa/level/o1fa",1,22,502,1334,147,2,10,0,true,false,false,1001,122001,124010,0,0,0,-1,36,-1,-1
282,"s1i1","ffxiv/sea_s1/ind/s1i1/level/s1i1",1,22,502,1100,109,0,14,0,true,false,false,1083,122001,123010,0,0,8,-1,0,-1,-1
283,"s1i2","ffxiv/sea_s1/ind/s1i2/level/s1i2",1,22,502,1101,110,0,14,0,true,false,false,1083,122001,123010,0,0,8,-1,0,-1,-1
284,"s1i3","ffxiv/sea_s1/ind/s1i3/level/s1i3",1,22,502,1102,113,0,14,0,true,false,false,1083,122001,123010,0,0,8,-1,0,-1,-1
285,"e0053","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,3,9,0,true,false,false,39,122001,123004,0,50,52,-1,0,-1,-1
286,"e0054","ffxiv/ocn_o1/evt/o1e2/level/o1e2",1,22,502,462,95,3,9,0,true,false,false,39,-1,-1,0,51,0,-1,0,-1,-1
287,"e0055","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,3,9,0,true,false,false,39,122001,123005,0,52,10,-1,0,-1,-1
288,"e0056","ffxiv/ocn_o1/evt/o1e2/level/o1e2",1,22,502,462,95,3,9,0,true,false,false,39,-1,-1,0,53,0,300,0,-1,-1
289,"e0057","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,3,9,0,true,false,false,37,122003,123205,0,54,5,-1,0,-1,-1
290,"e0063","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,3,9,0,true,false,false,37,122003,123205,0,55,4,-1,0,-1,-1
291,"e0064","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,true,false,false,37,122003,123206,0,56,4,1300,0,-1,-1
292,"w1fa_2","ffxiv/wil_w1/fld/w1fa/level/w1fa",1,24,505,357,35,2,10,0,true,false,false,1001,122002,124108,0,0,19,-1,5,-1,-1
293,"s1fa_2","ffxiv/sea_s1/fld/s1fa/level/s1fa",1,22,502,359,33,2,10,0,true,false,false,1001,122001,124008,0,0,0,-1,6,-1,-1
294,"r1fa_2","ffxiv/roc_r1/fld/r1fa/level/r1fa",1,25,508,361,39,2,10,0,true,false,false,1001,122004,124305,0,0,0,-1,10,-1,-1
295,"w1fa_3","ffxiv/wil_w1/fld/w1fa/level/w1fa",1,24,505,357,35,2,10,0,true,false,false,1001,122002,124109,0,0,19,-1,23,-1,-1
296,"s1fa_3","ffxiv/sea_s1/fld/s1fa/level/s1fa",1,22,502,359,33,2,10,0,true,false,false,1001,122001,124009,0,0,0,-1,16,-1,-1
297,"r1fa_3","ffxiv/roc_r1/fld/r1fa/level/r1fa",1,25,508,361,39,2,10,0,true,false,false,1001,122004,124306,0,0,0,-1,0,-1,-1
298,"go012","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,2,3,2,true,false,false,1001,-1,-1,0,0,23,-1,0,-1,-1
299,"go013","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,2,3,0,true,false,false,1001,-1,-1,0,0,24,-1,0,-1,-1
300,"go014","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,2,3,0,true,false,false,1001,-1,-1,0,0,24,-1,0,-1,-1
301,"e0051","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,37,122004,123301,0,60,23,-1,0,-1,-1
302,"e0052","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,113,122004,123301,0,61,23,-1,0,-1,-1
303,"e0058","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,3,9,0,true,false,false,39,122003,123205,0,57,4,-1,0,-1,-1
304,"e0059","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,113,122004,123301,0,62,23,-1,0,-1,-1
305,"e0060","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,3,9,0,true,false,false,117,122005,123401,0,65,24,-1,0,-1,-1
306,"e0061","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,24,505,45,23,3,9,0,true,false,false,113,122002,123107,0,58,19,-1,0,-1,-1
307,"e0062","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,3,9,0,true,false,false,108,122001,123005,0,59,10,-1,0,-1,-1
308,"e0065","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,3,9,0,true,false,false,76,122005,123401,0,63,24,-1,0,-1,-1
309,"e0066","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,3,9,0,true,false,false,39,122005,123401,0,64,24,-1,0,-1,-1
310,"e0067","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,22,502,32,17,3,9,0,true,false,false,37,122001,123006,0,66,11,-1,0,-1,-1
311,"e0068","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,22,502,32,17,3,9,0,true,false,false,39,122001,123006,0,67,11,-1,0,-1,-1
312,"e0069","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,24,505,45,23,3,9,0,true,false,false,37,122002,123107,0,68,19,-1,0,-1,-1
313,"e0070","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,39,122004,123301,0,69,23,-1,0,-1,-1
314,"e0071","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,505,43,21,3,9,0,true,false,false,37,122002,123105,0,70,53,-1,0,-1,-1
315,"e0072","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,3,9,0,true,false,false,91,122005,123401,0,71,24,-1,0,-1,-1
316,"e0073","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,91,122004,123301,0,72,23,-1,0,-1,-1
317,"e0074","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,true,false,false,37,122003,123206,0,73,5,-1,0,-1,-1
318,"e0075","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,24,505,45,23,3,9,0,true,false,false,91,122002,123107,0,74,19,-1,0,-1,-1
319,"e0076","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,true,false,false,37,122003,123204,0,75,3,-1,0,-1,-1
320,"e0077","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,true,false,false,91,122003,123204,0,76,3,-1,0,-1,-1
321,"e0078","ffxiv/fst_f1/fld/f1f4/level/f1f4",1,23,507,57,7,3,9,0,true,false,false,37,122003,123207,0,77,7,-1,0,-1,-1
322,"e0079","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,91,122004,123301,0,78,23,-1,0,-1,-1
323,"e0080","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,24,505,45,23,3,9,0,true,false,false,120,122002,123107,0,79,19,-1,0,-1,-1
324,"e0081","ffxiv/fst_f1/fld/f1f4/level/f1f4",1,23,507,57,7,3,9,0,true,false,false,157,122003,123207,0,80,7,-1,0,-1,-1
325,"e0082","ffxiv/sea_s1/fld/s1f6/level/s1f6",1,22,502,350,30,3,9,0,true,false,false,155,122001,123009,0,81,16,-1,0,-1,-1
326,"e0083","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,3,9,0,true,false,false,91,122005,123401,0,82,24,-1,0,-1,-1
327,"e0084","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,22,502,32,17,3,9,0,true,false,false,39,122001,123006,0,83,11,-1,0,-1,-1
328,"e0085","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,22,502,34,19,3,9,0,true,false,false,39,122001,123008,0,84,15,-1,0,-1,-1
329,"e0086","ffxiv/sea_s1/dun/s1d3/level/s1d3",1,22,502,37,32,3,9,0,true,false,false,91,122001,124004,0,85,15,-1,0,-1,-1
330,"e0087","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,22,502,33,18,3,9,0,true,false,false,112,122001,123007,0,86,13,100,0,-1,-1
331,"r1fa_event","ffxiv/roc_r1/fld/r1fa/level/r1fa",1,25,508,459,98,0,7,0,true,false,false,1001,-1,-1,0,0,23,-1,0,-1,-1
332,"w1f1_battle","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,24,505,42,20,2,10,0,true,false,false,1001,122002,123104,0,0,17,-1,34,-1,-1
333,"e0088","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,3,9,2,true,false,false,36,122004,123301,0,87,23,-1,0,-1,-1
334,"e0089","ffxiv/wil_w1/dun/w1d2/level/w1d2",1,24,505,49,46,3,9,0,true,false,false,36,122002,124103,0,88,18,-1,0,-1,-1
335,"l1f1_event","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,0,15,0,true,false,false,148,-1,-1,0,0,24,-1,0,-1,-1
336,"s1p2_002","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,0,true,false,false,1001,122001,124005,0,0,55,-1,0,-1,-1
337,"s1p2_003","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,0,true,false,false,1001,122001,124005,0,0,55,-1,0,-1,-1
338,"s1b7_2","ffxiv/sea_s1/bah/s1b7/level/s1b7",1,22,152,152,1,0,12,0,true,false,false,146,122010,124507,0,0,0,-1,0,-1,-1
339,"s1h1","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,22,502,425,72,0,13,0,true,false,false,1083,122001,123010,852431,0,8,-1,0,-1,-1
340,"f1h1","ffxiv/fst_f1/hou/f1h1/level/f1h1",1,23,507,426,82,0,13,0,true,false,false,1110,122003,123208,852427,0,2,-1,0,-1,-1
341,"w1h1","ffxiv/wil_w1/hou/w1h1/level/w1h1",1,24,505,427,83,0,13,0,true,false,false,1109,122002,123109,852430,0,9,-1,0,-1,-1
342,"f1i1","ffxiv/fst_f1/ind/f1i1/level/f1i1",1,23,507,1106,116,0,14,0,true,false,false,1110,122003,123208,0,0,2,-1,0,-1,-1
343,"f1i2","ffxiv/fst_f1/ind/f1i2/level/f1i2",1,23,507,1107,117,0,14,0,true,false,false,1110,122003,123208,0,0,2,-1,0,-1,-1
344,"f1i3","ffxiv/fst_f1/ind/f1i3/level/f1i3",1,23,507,1108,120,0,14,0,true,false,false,1110,122003,123208,0,0,2,-1,0,-1,-1
345,"w1i1","ffxiv/wil_w1/ind/w1i1/level/w1i1",1,24,505,1103,123,0,14,0,true,false,false,1109,122002,123109,0,0,9,-1,0,-1,-1
346,"w1i2","ffxiv/wil_w1/ind/w1i2/level/w1i2",1,24,505,1104,124,0,14,0,true,false,false,1109,122002,123109,0,0,9,-1,0,-1,-1
347,"w1i3","ffxiv/wil_w1/ind/w1i3/level/w1i3",1,24,505,1105,127,0,14,0,true,false,false,1109,122002,123109,0,0,9,-1,0,-1,-1
348,"w1fb","ffxiv/wil_w1/fld/w1fb/level/w1fb",1,24,505,477,143,2,10,0,true,false,false,1001,122002,124113,0,0,9,-1,17,-1,-1
349,"w1d6","ffxiv/wil_w1/dun/w1d6/level/w1d6",1,24,505,48,140,2,3,0,true,false,false,1001,122002,124102,0,0,17,-1,0,-1,-1
350,"f1d4","ffxiv/fst_f1/dun/f1d4/level/f1d4",1,23,507,59,137,2,3,0,true,false,false,1001,122003,124203,0,0,3,-1,0,-1,-1
351,"l1e1","ffxiv/lak_l1/evt/l1e1/level/l1e1",1,26,509,481,136,0,15,0,true,false,false,1114,-1,-1,852110,0,24,-1,0,-1,-1
352,"s1p2_004","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,0,true,false,false,1001,122001,124005,0,0,55,-1,0,-1,-1
353,"z1z1","ffxiv/ocn_o1/fld/o1fa/level/o1fa",1,22,502,1334,147,2,10,0,true,false,false,1001,122001,124010,0,0,0,-1,36,-1,-1
354,"z1z2","ffxiv/wil_w1/fld/w1fb/level/w1fb",1,1,505,477,143,2,10,0,true,false,false,1001,122002,124113,0,0,9,-1,17,-1,-1
355,"f1b1","ffxiv/fst_f1/bah/f1b1/level/f1b1",1,23,507,1301,148,2,16,0,true,false,false,1001,122003,124511,0,0,0,-1,39,-1,-1
356,"f1b2","ffxiv/fst_f1/bah/f1b2/level/f1b2",1,23,507,1302,149,2,16,0,true,false,false,1001,122003,124512,0,0,0,-1,40,-1,-1
357,"f1b3","ffxiv/fst_f1/bah/f1b3/level/f1b3",1,23,507,1303,65,2,16,0,true,false,false,1001,122012,124513,0,0,0,-1,41,-1,-1
358,"f1b4","ffxiv/fst_f1/bah/f1b4/level/f1b4",1,23,507,1304,150,2,17,0,true,false,false,1001,122012,124514,0,0,0,-1,42,-1,-1
359,"o1fa_2","ffxiv/ocn_o1/fld/o1fa/level/o1fa",1,22,502,1334,147,2,10,0,true,false,false,1001,122001,124011,0,0,0,-1,37,-1,-1
360,"w1d7","ffxiv/wil_w1/dun/w1d7/level/w1d7",1,24,505,49,145,2,3,0,true,false,false,1001,122002,124104,0,0,0,-1,0,-1,-1
361,"s1d5","ffxiv/sea_s1/dun/s1d5/level/s1d5",1,22,502,0,0,2,3,0,true,false,false,1001,122001,-1,0,0,0,-1,0,-1,-1
362,"s1d6","ffxiv/sea_s1/dun/s1d6/level/s1d6",1,22,502,36,146,2,3,0,true,false,false,1001,122001,124003,0,0,0,-1,43,-1,-1
363,"f1d5","ffxiv/fst_f1/dun/f1d5/level/f1d5",1,23,507,125,151,2,3,0,true,false,false,1001,122003,124205,0,0,0,-1,38,-1,-1
364,"f1fa_2","ffxiv/fst_f1/fld/f1fa/level/f1fa",1,23,507,360,36,2,10,0,true,false,false,1001,122003,124208,0,0,0,-1,0,-1,-1
365,"r1d2","ffxiv/roc_r1/dun/r1d2/level/r1d2",1,25,508,0,0,2,3,2,true,false,false,1001,122004,-1,0,0,0,-1,0,-1,-1
366,"r1fb","ffxiv/roc_r1/fld/r1fb/level/r1fb",1,25,508,386,144,2,3,2,true,false,false,1001,122004,124307,0,0,0,-1,44,-1,-1
367,"w1d8","ffxiv/wil_w1/dun/w1d8/level/w1d8",1,24,505,0,0,2,3,0,true,false,false,1001,122002,-1,0,0,0,-1,0,-1,-1
368,"r1f1_battle","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,392,53,2,10,2,true,false,false,1001,122004,124308,0,0,23,-1,0,-1,-1
369,"w1d2_battle","ffxiv/wil_w1/dun/w1d2/level/w1d2",1,24,505,694,46,2,10,0,true,false,false,1001,122002,124114,0,0,18,-1,0,-1,-1
370,"f1b5","ffxiv/fst_f1/bah/f1b5/level/f1b5",1,23,507,1305,1,0,12,0,true,false,false,1001,122012,124515,852619,0,0,-1,0,-1,-1
371,"r1d3","ffxiv/roc_r1/dun/r1d3/level/r1d3",1,25,508,0,0,0,1,2,true,false,false,1001,122004,-1,0,0,0,-1,0,-1,-1
372,"l1r2","ffxiv/lak_l1/rad/l1r2/level/l1r2",1,26,509,478,0,0,1,0,true,false,false,1001,-1,-1,0,0,24,-1,0,-1,-1
373,"f1d6","ffxiv/fst_f1/dun/f1d6/level/f1d6",1,23,507,0,0,0,1,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1
374,"f1fb","ffxiv/fst_f1/fld/f1fb/level/f1fb",1,23,507,0,0,0,1,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1
375,"f1fb_2","ffxiv/fst_f1/fld/f1fb/level/f1fb",1,23,507,0,0,0,1,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1
